"DATE","WIN1","WIN2","LOSS1","LOSS2","WINSCORE","LOSSSCORE","POINTS"
"20160423","4","102","52","167","21","16","12"
"20160416","3","113","52","167","21","19","9"
"20160416","3","113","4","102","21","19","15"
"20160416","11","119","6","8","21","18","19"
"20160416","142","119","6","11","21","19","23"
"20160416","52","167","4","102","24","22","32"
"20160416","11","14","8","142","21","18","15"
"20160416","11","142","119","6","21","17","28"
"20160416","4","102","113","167","21","18","20"
"20160416","102","4","3","52","21","15","17"
"20160416","119","6","14","8","21","15","25"
"20160416","52","103","3","167","21","16","25"
"20160416","14","119","11","142","21","14","12"
"20160416","11","142","8","6","21","15","29"
"20160416","4","167","113","102","21","13","31"
"20160416","113","52","4","3","21","17","16"
"20160416","8","11","119","14","21","14","21"
"20160416","102","167","3","52","21","18","32"
"20160416","11","119","142","6","21","18","12"
"20160416","102","113","4","167","21","16","13"
"20160416","8","14","6","142","21","19","10"
"20160416","3","102","52","167","21","19","16"
"20160416","52","113","4","102","21","16","15"
"20160416","102","106","119","11","21","16","23"
"20160409","6","119","11","142","21","15","15"
"20160409","8","142","119","6","21","9","23"
"20160409","102","113","4","137","21","17","19"
"20160409","113","102","52","167","21","14","11"
"20160409","4","137","52","167","21","15","11"
"20160409","119","6","8","11","26","24","24"
"20160409","102","4","52","167","21","13","13"
"20160409","4","102","113","137","21","16","29"
"20160409","142","6","11","119","21","18","36"
"20160409","137","113","4","102","21","16","14"
"20160409","137","113","52","167","21","15","9"
"20160409","8","11","6","142","21","15","10"
"20160409","11","119","8","6","21","16","19"
